stand,latcoord,longcoord
2,51.12433305555555,13.760212916666667
3,51.12461722222223,13.760592777777777
4,51.12491472222222,13.760954305555554
7,51.12537666666667,13.762631666666667
8,51.12572472222222,13.763088055555556
9,51.12600138888889,13.763445
10,51.126329444444444,13.763915833333334
18,51.12832152777778,13.76554611111111
19,51.12861680555555,13.765952777777777
20,51.12894694444444,13.766360833333334
21,51.12924777777778,13.766791805555556
22,51.12955930555556,13.76719
23,51.129848611111115,13.767577777777777
24,51.13013472222222,13.767999861111111
25,51.13044361111111,13.768426805555556
26,51.13072694444445,13.768836666666667
27,51.13102666666667,13.769238194444444
28,51.13133777777777,13.769642222222224
29,51.13161569444444,13.77002763888889
30,51.126712222222224,13.764979444444444
31,51.126376388888886,13.765564444444445
32,51.126065277777776,13.766198611111111
33,51.12573916666667,13.766785833333333
34,51.12679416666667,13.768290555555556
35,51.12703555555556,13.767904305555557
36,51.127263472222225,13.76749763888889
37,51.12749083333333,13.767096666666667
38,51.127729583333334,13.766698194444444
H,51.132917500000005,13.772031944444446
